Country,LONG,LAT,Point_ID,NUTS_1,NUTS_2,NUTS_3,P,N,K,CaCO3,pH_CaCl2,pH_H20,EC,OC,Land Cover,Land Description,Land Use,Revisited_point,Soil_Stones
Sweden,15.150304076,58.679785597,46203964,SE1,SE12,SE123,13.6,1.5,28.7,0,3.7,4.28,6.93,34.7,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,2
Sweden,15.277296503,58.83722621,46263982,SE1,SE12,SE123,8.5,1.8,82.5,0,3.6,4.32,6.48,43.5,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,3
Sweden,14.801664908,58.908845864,45983988,SE1,SE12,SE124,24.0,3.9,74.4,0,3.3,3.92,8.59,75.3,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,2
Sweden,17.820424643,59.492960351,47644068,SE1,SE11,SE110,28.7,3.9,72.1,0,3.6,4.52,13.75,71.6,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,2
Sweden,15.51422195,59.242796298,46364028,SE1,SE12,SE124,13.7,1.3,25.2,0,3.3,4.25,4.52,23.6,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,13.366005009,58.41144256,45183928,SE2,SE23,SE232,9.6,0.9,27.4,0,3.4,4.05,5.74,18.1,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,15.12893122,58.770748753,46183974,SE1,SE12,SE123,14.5,2.6,50.9,0,4.0,4.29,13.72,56.6,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,3
Sweden,14.677698058,59.021292168,45904000,SE1,SE12,SE124,6.8,1.2,27.0,0,4.0,4.14,15.13,27.4,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,2
Sweden,16.016940013,58.698346816,46703970,SE1,SE12,SE123,8.2,1.2,27.5,0,3.8,4.48,4.76,32.0,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,15.870737856,58.650599184,46623964,SE1,SE12,SE123,15.2,3.0,71.0,0,4.1,4.6,12.49,53.6,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
Sweden,15.342770778,58.58219452,46323954,SE1,SE12,SE123,8.8,1.5,46.4,0,3.5,4.32,6.99,38.6,Woodland,Pine dominated mixed woodland,FORESTRY,Yes,3
Sweden,15.297875502,58.511822709,46303946,SE1,SE12,SE123,23.5,3.4,59.6,0,3.5,4.14,11.49,70.7,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,15.133122098,59.27553239,46144030,SE1,SE12,SE124,14.9,2.1,28.2,0,3.5,4.03,8.44,36.6,Woodland,Other mixed woodland,FORESTRY,Yes,1
Sweden,14.067116668,57.04153063,45683778,SE2,SE21,SE212,18.8,2.2,16.6,0,4.7,5.04,29.8,31.6,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,3
Sweden,12.165467268,58.345992757,44483918,SE2,SE23,SE232,38.5,17.4,226.4,0,3.3,4.06,102.6,440.7,Woodland,Pine dominated mixed woodland,FORESTRY,Yes,1
Sweden,13.371823058,57.007269015,45263772,SE2,SE23,SE231,85.1,14.2,116.3,0,2.8,3.59,39.0,515.9,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,13.329488817,56.900376371,45243760,SE2,SE23,SE231,35.7,13.9,102.8,0,3.0,3.96,8.88,523.6,Woodland,Pine dominated coniferous woodland,Semi-natural and natural areas not in use,Yes,1
Sweden,13.251670358,56.758379516,45203744,SE2,SE23,SE231,49.5,21.7,107.9,0,3.5,4.15,33.8,434.8,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,13.152270102,56.74282988,45143742,SE2,SE23,SE231,8.5,1.3,17.8,0,5.1,5.6,5.06,23.0,Woodland,Pine dominated mixed woodland,FORESTRY,Yes,1
Sweden,13.165686363,56.904447451,45143760,SE2,SE23,SE231,50.2,12.6,102.0,0,2.8,3.86,29.4,502.9,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,17.022422042,60.78335819,47044206,SE3,SE31,SE313,124.1,15.2,360.9,0,3.1,4.2,23.9,531.5,Woodland,Pine dominated coniferous woodland,FORESTRY,Yes,1
Sweden,13.709049865,57.088154542,45463782,SE2,SE21,SE211,66.0,14.7,63.6,0,2.8,3.64,27.7,455.4,Woodland,Spruce dominated mixed woodland,FORESTRY,Yes,1
Sweden,17.075903373,60.690278654,47084196,SE3,SE31,SE313,31.2,23.3,108.2,0,4.3,4.59,93.5,408.2,Woodland,Spruce dominated coniferous woodland,FORESTRY,Yes,1
